24/02/2023 17:41:00 - 0156:	 - train_loss: 0.410017:	 - test_loss: 0.426489:	 mIoU 0.6717
24/02/2023 17:41:05 - 0157:	 - train_loss: 0.369102:	 - test_loss: 0.422275:	 mIoU 0.6852
24/02/2023 17:41:09 - 0158:	 - train_loss: 0.349901:	 - test_loss: 0.428751:	 mIoU 0.6765
24/02/2023 17:41:14 - 0159:	 - train_loss: 0.383792:	 - test_loss: 0.402377:	 mIoU 0.7130
24/02/2023 17:41:19 - 0160:	 - train_loss: 0.357844:	 - test_loss: 0.408379:	 mIoU 0.7084
24/02/2023 17:41:23 - 0161:	 - train_loss: 0.351270:	 - test_loss: 0.435262:	 mIoU 0.6673
24/02/2023 17:41:28 - 0162:	 - train_loss: 0.351621:	 - test_loss: 0.422925:	 mIoU 0.6914
24/02/2023 17:41:33 - 0163:	 - train_loss: 0.330541:	 - test_loss: 0.407711:	 mIoU 0.7100
24/02/2023 17:41:37 - 0164:	 - train_loss: 0.349107:	 - test_loss: 0.421835:	 mIoU 0.6946
24/02/2023 17:41:42 - 0165:	 - train_loss: 0.343869:	 - test_loss: 0.425691:	 mIoU 0.6837
24/02/2023 17:41:46 - 0166:	 - train_loss: 0.333449:	 - test_loss: 0.399638:	 mIoU 0.7182
24/02/2023 17:41:51 - 0167:	 - train_loss: 0.376083:	 - test_loss: 0.406137:	 mIoU 0.7091
24/02/2023 17:41:56 - 0168:	 - train_loss: 0.363165:	 - test_loss: 0.393512:	 mIoU 0.7296
24/02/2023 17:42:00 - 0169:	 - train_loss: 0.350186:	 - test_loss: 0.398591:	 mIoU 0.7198
24/02/2023 17:42:05 - 0170:	 - train_loss: 0.359108:	 - test_loss: 0.397217:	 mIoU 0.7214
24/02/2023 17:42:10 - 0171:	 - train_loss: 0.349124:	 - test_loss: 0.396526:	 mIoU 0.7228
24/02/2023 17:42:14 - 0172:	 - train_loss: 0.348643:	 - test_loss: 0.399412:	 mIoU 0.7208
24/02/2023 17:42:19 - 0173:	 - train_loss: 0.337236:	 - test_loss: 0.395974:	 mIoU 0.7233
24/02/2023 17:42:24 - 0174:	 - train_loss: 0.342540:	 - test_loss: 0.400650:	 mIoU 0.7212
24/02/2023 17:42:28 - 0175:	 - train_loss: 0.350569:	 - test_loss: 0.413166:	 mIoU 0.6953
24/02/2023 17:42:33 - 0176:	 - train_loss: 0.360812:	 - test_loss: 0.408210:	 mIoU 0.7077
24/02/2023 17:42:38 - 0177:	 - train_loss: 0.373127:	 - test_loss: 0.405324:	 mIoU 0.7091
24/02/2023 17:42:42 - 0178:	 - train_loss: 0.328174:	 - test_loss: 0.404476:	 mIoU 0.7094
24/02/2023 17:42:47 - 0179:	 - train_loss: 0.343006:	 - test_loss: 0.400904:	 mIoU 0.7129
24/02/2023 17:42:52 - 0180:	 - train_loss: 0.346558:	 - test_loss: 0.397164:	 mIoU 0.7206
24/02/2023 17:42:56 - 0181:	 - train_loss: 0.361093:	 - test_loss: 0.397006:	 mIoU 0.7184
24/02/2023 17:43:01 - 0182:	 - train_loss: 0.345405:	 - test_loss: 0.426571:	 mIoU 0.6827
24/02/2023 17:43:06 - 0183:	 - train_loss: 0.339432:	 - test_loss: 0.402533:	 mIoU 0.7142
24/02/2023 17:43:10 - 0184:	 - train_loss: 0.364530:	 - test_loss: 0.394324:	 mIoU 0.7213
24/02/2023 17:43:15 - 0185:	 - train_loss: 0.361396:	 - test_loss: 0.400927:	 mIoU 0.7210
24/02/2023 17:43:19 - 0186:	 - train_loss: 0.347113:	 - test_loss: 0.392047:	 mIoU 0.7241
24/02/2023 17:43:24 - 0187:	 - train_loss: 0.336018:	 - test_loss: 0.394271:	 mIoU 0.7227
24/02/2023 17:43:29 - 0188:	 - train_loss: 0.354448:	 - test_loss: 0.397941:	 mIoU 0.7191
24/02/2023 17:43:33 - 0189:	 - train_loss: 0.358348:	 - test_loss: 0.390677:	 mIoU 0.7269
24/02/2023 17:43:38 - 0190:	 - train_loss: 0.345060:	 - test_loss: 0.394747:	 mIoU 0.7231
24/02/2023 17:43:43 - 0191:	 - train_loss: 0.334029:	 - test_loss: 0.394480:	 mIoU 0.7187
24/02/2023 17:43:47 - 0192:	 - train_loss: 0.340384:	 - test_loss: 0.397387:	 mIoU 0.7174
24/02/2023 17:43:52 - 0193:	 - train_loss: 0.348532:	 - test_loss: 0.397540:	 mIoU 0.7147
24/02/2023 17:43:57 - 0194:	 - train_loss: 0.354594:	 - test_loss: 0.403090:	 mIoU 0.7118
24/02/2023 17:44:01 - 0195:	 - train_loss: 0.345658:	 - test_loss: 0.397018:	 mIoU 0.7189
24/02/2023 17:44:06 - 0196:	 - train_loss: 0.352734:	 - test_loss: 0.409961:	 mIoU 0.7104
24/02/2023 17:44:11 - 0197:	 - train_loss: 0.346092:	 - test_loss: 0.412781:	 mIoU 0.7114
24/02/2023 17:44:15 - 0198:	 - train_loss: 0.344370:	 - test_loss: 0.404222:	 mIoU 0.7111
24/02/2023 17:44:20 - 0199:	 - train_loss: 0.349447:	 - test_loss: 0.400203:	 mIoU 0.7168
24/02/2023 17:44:25 - 0200:	 - train_loss: 0.326156:	 - test_loss: 0.408730:	 mIoU 0.6996
24/02/2023 17:44:29 - 0201:	 - train_loss: 0.342357:	 - test_loss: 0.399828:	 mIoU 0.7168
24/02/2023 17:44:34 - 0202:	 - train_loss: 0.369728:	 - test_loss: 0.395325:	 mIoU 0.7211
24/02/2023 17:44:38 - 0203:	 - train_loss: 0.341524:	 - test_loss: 0.420261:	 mIoU 0.6941
24/02/2023 17:44:43 - 0204:	 - train_loss: 0.353213:	 - test_loss: 0.394271:	 mIoU 0.7204
24/02/2023 17:44:48 - 0205:	 - train_loss: 0.341640:	 - test_loss: 0.401774:	 mIoU 0.7076
24/02/2023 17:44:53 - 0206:	 - train_loss: 0.366310:	 - test_loss: 0.415648:	 mIoU 0.6960
24/02/2023 17:44:57 - 0207:	 - train_loss: 0.350276:	 - test_loss: 0.400102:	 mIoU 0.7126
24/02/2023 17:45:02 - 0208:	 - train_loss: 0.363102:	 - test_loss: 0.397183:	 mIoU 0.7176
24/02/2023 17:45:07 - 0209:	 - train_loss: 0.331235:	 - test_loss: 0.394160:	 mIoU 0.7212
24/02/2023 17:45:11 - 0210:	 - train_loss: 0.347745:	 - test_loss: 0.391777:	 mIoU 0.7236
24/02/2023 17:45:16 - 0211:	 - train_loss: 0.341451:	 - test_loss: 0.395398:	 mIoU 0.7219
24/02/2023 17:45:20 - 0212:	 - train_loss: 0.349054:	 - test_loss: 0.399539:	 mIoU 0.7105
24/02/2023 17:45:25 - 0213:	 - train_loss: 0.338512:	 - test_loss: 0.385257:	 mIoU 0.7335
